sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position,strategy,family
242,0.06446251752641396,0.06446251752641396,0.02774474801707696,2.2656783343369247,-0.012040648685836985,5.353741248363062,0.10743801652892562,0.2396694214876033,0.2396694214876033,enh_r12_ma5_trend_r1_abs,trend_filter
242,0.09806928387760983,0.09806928387760983,0.043126525878423944,2.1910763408031375,-0.01904107317439141,5.150407384049366,0.2024793388429752,0.5371900826446281,0.5371900826446281,enh_r12_ma10_trend_only,trend_filter
242,0.047126792218680214,0.047126792218680214,0.022165592837404526,2.0887492660118663,-0.009881422924901129,4.769231372530466,0.06611570247933884,0.11983471074380166,0.11983471074380166,enh_r1_r12_ma5_trend_r1_abs,trend_filter
242,0.05970955161525948,0.05970955161525948,0.030022137694083316,1.9468860241413133,-0.009636592253622567,6.1961272246227495,0.11983471074380166,0.2809917355371901,0.2809917355371901,enh_r1_r12_ma5_trend_only,trend_filter
242,0.07856210067061165,0.07856210067061165,0.03937180164774904,1.9407485870502381,-0.019041073174391077,4.125928194859953,0.19008264462809918,0.4793388429752066,0.4793388429752066,enh_r12_ma40_trend_only,trend_filter
242,0.07634604778483678,0.07634604778483678,0.03925269716993597,1.894104524079133,-0.01904107317439141,4.00954542244581,0.19421487603305784,0.512396694214876,0.512396694214876,enh_r12_ma30_trend_only,trend_filter
242,0.08278151719073046,0.08278151719073046,0.04255849056704079,1.8902013727746674,-0.01904107317439141,4.347523715315816,0.19421487603305784,0.5247933884297521,0.5247933884297521,enh_r12_ma20_trend_only,trend_filter
242,0.08329810342268806,0.08329810342268806,0.0446150671779383,1.8157667950743568,-0.01584576722381925,5.25680468771969,0.19834710743801653,0.5413223140495868,0.5413223140495868,enh_r12_ma5_trend_only,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma5_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma5_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma10_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma10_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma20_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma20_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma30_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma30_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma40_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma40_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma5_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma5_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma10_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma10_trend_both,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma20_trend_bar_vol,trend_filter
242,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r12_ma20_trend_both,trend_filter
